date,region,dormidas
2023-01-01,Alentejo,113861
2023-01-01,Algarve,546804
2023-01-01,Açores,93145
2023-01-01,Centro,255478
2023-01-01,Grande Lisboa,1055139
2023-01-01,Madeira,591405
2023-01-01,Norte,600832
2023-01-01,Oeste e Vale do Tejo,109160
2023-01-01,Península de Setúbal,68509
2023-02-01,Alentejo,155131
2023-02-01,Algarve,782376
2023-02-01,Açores,104244
2023-02-01,Centro,292202
2023-02-01,Grande Lisboa,1155917
2023-02-01,Madeira,615367
2023-02-01,Norte,690781
2023-02-01,Oeste e Vale do Tejo,143259
2023-02-01,Península de Setúbal,75012
2023-03-01,Alentejo,174004
2023-03-01,Algarve,1092606
2023-03-01,Açores,160650
2023-03-01,Centro,300062
2023-03-01,Grande Lisboa,1474917
2023-03-01,Madeira,731700
2023-03-01,Norte,857634
2023-03-01,Oeste e Vale do Tejo,187545
2023-03-01,Península de Setúbal,101881
2023-04-01,Alentejo,280033
2023-04-01,Algarve,1834975
2023-04-01,Açores,219667
2023-04-01,Centro,419235
2023-04-01,Grande Lisboa,1679812
2023-04-01,Madeira,787942
2023-04-01,Norte,1190754
2023-04-01,Oeste e Vale do Tejo,290927
2023-04-01,Península de Setúbal,129613
2023-05-01,Alentejo,255776
2023-05-01,Algarve,1968201
2023-05-01,Açores,251066
2023-05-01,Centro,407871
2023-05-01,Grande Lisboa,1783368
2023-05-01,Madeira,814937
2023-05-01,Norte,1230630
2023-05-01,Oeste e Vale do Tejo,296610
2023-05-01,Península de Setúbal,131621
2023-06-01,Alentejo,303224
2023-06-01,Algarve,2239992
2023-06-01,Açores,301690
2023-06-01,Centro,417683
2023-06-01,Grande Lisboa,1684904
2023-06-01,Madeira,827025
2023-06-01,Norte,1222633
2023-06-01,Oeste e Vale do Tejo,310430
2023-06-01,Península de Setúbal,140339
2023-07-01,Alentejo,384490
2023-07-01,Algarve,2805543
2023-07-01,Açores,360842
2023-07-01,Centro,536406
2023-07-01,Grande Lisboa,1806183
2023-07-01,Madeira,926285
2023-07-01,Norte,1429710
2023-07-01,Oeste e Vale do Tejo,380469
2023-07-01,Península de Setúbal,172544
2023-08-01,Alentejo,491748
2023-08-01,Algarve,3181862
2023-08-01,Açores,397616
2023-08-01,Centro,731498
2023-08-01,Grande Lisboa,1930094
2023-08-01,Madeira,982207
2023-08-01,Norte,1732291
2023-08-01,Oeste e Vale do Tejo,490541
2023-08-01,Península de Setúbal,197934
2023-09-01,Alentejo,352768
2023-09-01,Algarve,2402161
2023-09-01,Açores,330457
2023-09-01,Centro,491913
2023-09-01,Grande Lisboa,1830789
2023-09-01,Madeira,876902
2023-09-01,Norte,1418077
2023-09-01,Oeste e Vale do Tejo,377213
2023-09-01,Península de Setúbal,157173
2023-10-01,Alentejo,284728
2023-10-01,Algarve,2071317
2023-10-01,Açores,246280
2023-10-01,Centro,405617
2023-10-01,Grande Lisboa,1811269
2023-10-01,Madeira,829136
2023-10-01,Norte,1259788
2023-10-01,Oeste e Vale do Tejo,339304
2023-10-01,Península de Setúbal,135917
2023-11-01,Alentejo,170012
2023-11-01,Algarve,820518
2023-11-01,Açores,132133
2023-11-01,Centro,290132
2023-11-01,Grande Lisboa,1376947
2023-11-01,Madeira,677429
2023-11-01,Norte,809076
2023-11-01,Oeste e Vale do Tejo,213122
2023-11-01,Península de Setúbal,84646
2023-12-01,Alentejo,158764
2023-12-01,Algarve,614357
2023-12-01,Açores,93820
2023-12-01,Centro,338832
2023-12-01,Grande Lisboa,1172868
2023-12-01,Madeira,583635
2023-12-01,Norte,820410
2023-12-01,Oeste e Vale do Tejo,180975
2023-12-01,Península de Setúbal,81081
2024-01-01,Alentejo,114654
2024-01-01,Algarve,563966
2024-01-01,Açores,89881
2024-01-01,Centro,267670
2024-01-01,Grande Lisboa,1015785
2024-01-01,Madeira,582505
2024-01-01,Norte,629657
2024-01-01,Oeste e Vale do Tejo,130704
2024-01-01,Península de Setúbal,65689
2024-02-01,Alentejo,154698
2024-02-01,Algarve,817508
2024-02-01,Açores,120129
2024-02-01,Centro,299394
2024-02-01,Grande Lisboa,1239841
2024-02-01,Madeira,651234
2024-02-01,Norte,746747
2024-02-01,Oeste e Vale do Tejo,167781
2024-02-01,Península de Setúbal,80470
2024-03-01,Alentejo,208896
2024-03-01,Algarve,1245790
2024-03-01,Açores,182236
2024-03-01,Centro,372180
2024-03-01,Grande Lisboa,1605916
2024-03-01,Madeira,764598
2024-03-01,Norte,993565
2024-03-01,Oeste e Vale do Tejo,239446
2024-03-01,Península de Setúbal,112441
2024-04-01,Alentejo,250109
2024-04-01,Algarve,1668748
2024-04-01,Açores,237806
2024-04-01,Centro,383877
2024-04-01,Grande Lisboa,1681670
2024-04-01,Madeira,788530
2024-04-01,Norte,1126328
2024-04-01,Oeste e Vale do Tejo,286661
2024-04-01,Península de Setúbal,125126
2024-05-01,Alentejo,299875
2024-05-01,Algarve,2073654
2024-05-01,Açores,303434
2024-05-01,Centro,441300
2024-05-01,Grande Lisboa,1890809
2024-05-01,Madeira,868449
2024-05-01,Norte,1342798
2024-05-01,Oeste e Vale do Tejo,333252
2024-05-01,Península de Setúbal,148352
2024-06-01,Alentejo,323154
2024-06-01,Algarve,2324847
2024-06-01,Açores,343263
2024-06-01,Centro,446070
2024-06-01,Grande Lisboa,1767180
2024-06-01,Madeira,862161
2024-06-01,Norte,1302366
2024-06-01,Oeste e Vale do Tejo,320012
2024-06-01,Península de Setúbal,152925
2024-07-01,Alentejo,392256
2024-07-01,Algarve,2835129
2024-07-01,Açores,409723
2024-07-01,Centro,539869
2024-07-01,Grande Lisboa,1880406
2024-07-01,Madeira,939907
2024-07-01,Norte,1506402
2024-07-01,Oeste e Vale do Tejo,378127
2024-07-01,Península de Setúbal,179947
2024-08-01,Alentejo,528088
2024-08-01,Algarve,3217263
2024-08-01,Açores,448769
2024-08-01,Centro,774527
2024-08-01,Grande Lisboa,2026635
2024-08-01,Madeira,984870
2024-08-01,Norte,1867830
2024-08-01,Oeste e Vale do Tejo,494956
2024-08-01,Península de Setúbal,210971
2024-09-01,Alentejo,361083
2024-09-01,Algarve,2430059
2024-09-01,Açores,365605
2024-09-01,Centro,518340
2024-09-01,Grande Lisboa,1864873
2024-09-01,Madeira,885978
2024-09-01,Norte,1486531
2024-09-01,Oeste e Vale do Tejo,377717
2024-09-01,Península de Setúbal,163573
2024-10-01,Alentejo,271060
2024-10-01,Algarve,2085928
2024-10-01,Açores,273759
2024-10-01,Centro,431768
2024-10-01,Grande Lisboa,1851394
2024-10-01,Madeira,852186
2024-10-01,Norte,1316470
2024-10-01,Oeste e Vale do Tejo,341257
2024-10-01,Península de Setúbal,142113
2024-11-01,Alentejo,194377
2024-11-01,Algarve,847358
2024-11-01,Açores,154551
2024-11-01,Centro,357336
2024-11-01,Grande Lisboa,1440682
2024-11-01,Madeira,730688
2024-11-01,Norte,947823
2024-11-01,Oeste e Vale do Tejo,236859
2024-11-01,Península de Setúbal,99890
2024-12-01,Alentejo,158792
2024-12-01,Algarve,628687
2024-12-01,Açores,98420
2024-12-01,Centro,334981
2024-12-01,Grande Lisboa,1195261
2024-12-01,Madeira,641411
2024-12-01,Norte,838240
2024-12-01,Oeste e Vale do Tejo,175406
2024-12-01,Península de Setúbal,82565
2025-01-01,Alentejo,128749
2025-01-01,Algarve,570502
2025-01-01,Açores,99768
2025-01-01,Centro,279254
2025-01-01,Grande Lisboa,1076678
2025-01-01,Madeira,630989
2025-01-01,Norte,672920
2025-01-01,Oeste e Vale do Tejo,134632
2025-01-01,Península de Setúbal,76058
2025-02-01,Alentejo,148543
2025-02-01,Algarve,774754
2025-02-01,Açores,125431
2025-02-01,Centro,289791
2025-02-01,Grande Lisboa,1170391
2025-02-01,Madeira,671775
2025-02-01,Norte,751274
2025-02-01,Oeste e Vale do Tejo,153649
2025-02-01,Península de Setúbal,88171
2025-03-01,Alentejo,197922
2025-03-01,Algarve,1138922
2025-03-01,Açores,192685
2025-03-01,Centro,362124
2025-03-01,Grande Lisboa,1553331
2025-03-01,Madeira,783142
2025-03-01,Norte,990986
2025-03-01,Oeste e Vale do Tejo,228254
2025-03-01,Península de Setúbal,116315
2025-04-01,Alentejo,279945
2025-04-01,Algarve,1841359
2025-04-01,Açores,270825
2025-04-01,Centro,444209
2025-04-01,Grande Lisboa,1741542
2025-04-01,Madeira,843616
2025-04-01,Norte,1282414
2025-04-01,Oeste e Vale do Tejo,290596
2025-04-01,Península de Setúbal,136223
2025-05-01,Alentejo,310291
2025-05-01,Algarve,2018964
2025-05-01,Açores,318234
2025-05-01,Centro,461559
2025-05-01,Grande Lisboa,1877115
2025-05-01,Madeira,899263
2025-05-01,Norte,1429144
2025-05-01,Oeste e Vale do Tejo,336139
2025-05-01,Península de Setúbal,153636
2025-06-01,Alentejo,357717
2025-06-01,Algarve,2381452
2025-06-01,Açores,346059
2025-06-01,Centro,454962
2025-06-01,Grande Lisboa,1767312
2025-06-01,Madeira,901247
2025-06-01,Norte,1386091
2025-06-01,Oeste e Vale do Tejo,327028
2025-06-01,Península de Setúbal,160589
2025-07-01,Alentejo,430397
2025-07-01,Algarve,2905557
2025-07-01,Açores,421454
2025-07-01,Centro,570668
2025-07-01,Grande Lisboa,1937617
2025-07-01,Madeira,996365
2025-07-01,Norte,1575877
2025-07-01,Oeste e Vale do Tejo,390269
2025-07-01,Península de Setúbal,189727
2025-08-01,Alentejo,548451
2025-08-01,Algarve,3231842
2025-08-01,Açores,455648
2025-08-01,Centro,752925
2025-08-01,Grande Lisboa,2065607
2025-08-01,Madeira,1024021
2025-08-01,Norte,1897429
2025-08-01,Oeste e Vale do Tejo,495092
2025-08-01,Península de Setúbal,217792
2025-09-01,Alentejo,391468
2025-09-01,Algarve,2366434
2025-09-01,Açores,360687
2025-09-01,Centro,505998
2025-09-01,Grande Lisboa,1878268
2025-09-01,Madeira,914115
2025-09-01,Norte,1532076
2025-09-01,Oeste e Vale do Tejo,385677
2025-09-01,Península de Setúbal,169181
2025-10-01,Alentejo,300836
2025-10-01,Algarve,2063165
2025-10-01,Açores,269695
2025-10-01,Centro,431141
2025-10-01,Grande Lisboa,1900515
2025-10-01,Madeira,903233
2025-10-01,Norte,1370945
2025-10-01,Oeste e Vale do Tejo,344010
2025-10-01,Península de Setúbal,146392
2025-11-01,Alentejo,202883
2025-11-01,Algarve,869730
2025-11-01,Açores,147064
2025-11-01,Centro,337617
2025-11-01,Grande Lisboa,1443318
2025-11-01,Madeira,737426
2025-11-01,Norte,968639
2025-11-01,Oeste e Vale do Tejo,237612
2025-11-01,Península de Setúbal,99674
2025-12-01,Alentejo,164227
2025-12-01,Algarve,657826
2025-12-01,Açores,94061
2025-12-01,Centro,361660
2025-12-01,Grande Lisboa,1221392
2025-12-01,Madeira,629324
2025-12-01,Norte,880884
2025-12-01,Oeste e Vale do Tejo,186129
2025-12-01,Península de Setúbal,83397
2026-01-01,Alentejo,130498
2026-01-01,Algarve,557897
2026-01-01,Açores,93816
