ano,Total,Total exceto alimentares e energéticos,Produtos alimentares e bebidas não alcoólicas,Bebidas alcoólicas e tabaco,Vestuário e calçado,"Habitação, água, eletricidade, gás e outros combustíveis",Acessórios para o lar e equipamento doméstico,Saúde,Transportes,Informação e comunicação,"Lazer, recreação, desporto e cultura",Serviços de educação
1960,2.6,2.3,3.2,0.1,1.5,3.4,1.9,1.0,1.4,0.0,-0.8,-0.1
1961,0.5,2.0,-1.5,1.1,1.1,4.6,2.6,-0.1,1.1,0.0,-0.5,-0.3
1962,2.4,1.2,2.7,5.9,-0.7,1.9,4.0,4.3,4.1,0.0,0.0,0.0
1963,1.7,0.5,3.4,-2.3,-0.3,-0.4,2.4,0.6,3.4,0.0,0.9,0.1
1964,3.1,2.7,4.3,-1.2,0.5,3.8,3.0,-0.2,0.7,0.0,0.6,0.3
1965,4.7,3.5,5.6,1.8,0.6,5.9,6.1,2.3,3.1,0.0,2.0,0.6
1966,6.6,4.8,8.6,0.8,1.8,7.4,8.7,3.0,0.1,0.0,1.8,0.1
1967,4.5,8.1,0.0,8.9,6.1,13.2,10.3,4.3,3.1,0.0,4.7,3.1
1968,5.8,6.6,3.4,9.6,2.0,10.1,9.2,9.7,3.5,0.0,10.2,8.0
1969,8.6,6.1,9.0,6.7,1.9,12.5,9.8,4.9,6.1,0.0,6.9,4.3
1970,4.3,5.7,1.7,12.4,3.1,4.0,10.6,7.1,6.0,0.0,16.0,9.7
1971,11.0,11.0,8.7,3.6,6.3,23.4,12.2,9.7,0.1,0.0,0.3,1.1
1972,11.1,10.0,10.2,5.3,7.7,18.4,14.3,5.6,1.2,0.0,2.4,-3.8
1973,13.0,14.9,8.3,15.6,16.5,21.2,15.1,6.8,23.3,0.0,8.1,-17.4
1974,26.2,23.6,33.1,19.9,24.0,19.6,18.9,21.9,18.7,0.0,32.7,3.6
1975,17.3,15.7,23.3,16.4,7.2,7.3,17.5,8.1,18.6,0.0,39.2,7.4
1976,19.9,13.7,21.6,12.0,9.1,25.8,4.1,21.3,34.3,0.0,11.5,0.0
1977,26.7,18.8,35.8,12.7,12.9,15.2,21.4,25.5,36.9,0.0,28.1,4.7
1978,20.8,21.4,18.7,65.7,17.7,13.3,19.6,17.8,19.5,38.6,13.9,17.1
1979,21.7,18.0,26.9,33.2,24.1,9.7,9.3,9.2,18.5,28.6,18.9,11.1
1980,16.1,14.1,15.8,-18.4,33.4,14.0,23.3,10.1,26.9,12.1,19.9,9.8
1981,19.2,18.7,19.5,19.2,22.2,12.8,19.5,12.6,24.9,30.5,15.7,14.0
1982,21.5,19.8,24.8,22.6,16.8,13.4,18.0,17.9,28.2,0.1,19.0,19.5
1983,24.0,20.5,26.4,8.0,19.5,19.9,21.1,24.7,32.4,35.6,21.3,25.5
1984,28.5,28.6,32.1,19.2,22.9,27.7,29.9,28.0,23.5,21.7,30.7,28.6
1985,19.5,22.0,17.6,22.9,23.6,17.4,23.0,20.2,22.5,24.7,19.5,22.9
1986,12.6,15.2,8.5,14.1,23.3,14.9,14.2,21.0,12.7,9.0,12.5,21.6
1987,9.7,10.8,8.6,10.8,16.9,9.7,9.3,9.0,6.7,-3.0,10.5,15.6
1988,9.9,10.7,7.6,16.4,13.5,14.9,9.7,10.2,7.5,-2.3,10.2,8.8
1989,12.5,14.1,10.5,37.2,10.5,13.9,10.5,12.0,9.3,4.1,7.2,16.3
1990,13.6,13.0,14.0,8.2,9.6,17.2,9.6,12.4,15.4,7.0,9.7,15.7
1991,11.8,13.1,7.8,7.3,11.9,22.0,10.7,14.3,11.9,4.9,11.0,12.3
1992,9.6,11.7,6.0,6.3,11.8,14.1,9.4,15.3,9.0,4.4,6.7,18.4
1993,6.8,8.7,0.9,6.8,7.0,9.1,6.1,12.6,10.6,3.3,12.5,28.5
1994,5.4,6.0,3.7,11.9,4.2,6.8,2.5,9.0,5.3,2.2,4.7,18.0
1995,4.2,4.8,2.7,7.5,2.0,4.4,3.4,6.2,4.4,2.7,6.2,9.5
1996,3.1,3.6,2.0,3.8,1.7,2.7,3.0,4.6,4.0,2.8,6.9,-5.1
1997,2.3,2.3,0.2,1.9,0.6,4.3,1.7,6.0,3.5,0.6,3.0,10.1
1998,2.6,2.1,3.7,4.4,-5.3,2.5,1.7,5.3,3.3,-3.0,1.1,19.1
1999,2.3,2.7,2.2,7.2,0.5,0.8,2.2,4.2,2.9,-3.1,1.4,4.8
2000,2.9,2.6,2.1,0.9,0.8,3.7,1.9,3.1,4.8,-3.8,1.5,5.1
2001,4.4,3.5,6.5,3.2,1.6,3.9,3.3,3.7,4.8,-1.7,3.0,5.2
2002,3.6,4.5,1.5,4.8,2.4,2.9,3.1,4.8,5.1,-0.1,3.6,6.1
2003,3.2,3.2,2.3,4.8,1.2,4.2,2.4,2.3,4.4,-2.2,2.7,6.7
2004,2.4,2.4,1.1,3.0,-1.1,3.0,1.5,1.7,3.5,-1.9,4.3,9.4
