date,gasoleo_pvp_eur_l,gasolina95_pvp_eur_l
2015-04-20,1.227,1.485
2015-04-27,1.242,1.5
2015-05-04,1.244,1.507
2015-05-11,1.25,1.505
2015-05-18,1.249,1.502
2015-05-25,1.248,1.508
2015-06-01,1.245,1.51
2015-06-08,1.238,1.513
2015-06-15,1.256,1.536
2015-06-22,1.254,1.542
2015-06-29,1.255,1.537
2015-07-06,1.253,1.539
2015-07-13,1.233,1.555
2015-07-20,1.226,1.544
2015-07-27,1.22,1.529
2015-08-03,1.204,1.515
2015-08-10,1.186,1.502
2015-08-17,1.178,1.476
2015-08-24,1.171,1.449
2015-08-31,1.145,1.406
2015-09-07,1.181,1.422
2015-09-14,1.165,1.406
2015-09-21,1.156,1.391
2015-09-28,1.157,1.384
2015-10-05,1.157,1.375
2015-10-12,1.164,1.384
2015-10-19,1.151,1.373
2015-10-26,1.138,1.354
2015-11-02,1.144,1.363
2015-11-09,1.159,1.382
2015-11-16,1.158,1.385
2015-11-23,1.145,1.367
2015-11-30,1.144,1.372
2015-12-07,1.133,1.364
2015-12-14,1.093,1.345
2015-12-21,1.058,1.334
2015-12-28,1.055,1.329
2016-01-04,1.062,1.337
2016-01-11,1.056,1.339
2016-01-18,1.0355,1.316
2016-01-25,1.0115,1.296
2016-02-01,1.008,1.2885
2016-02-08,1.017,1.285
2016-02-15,1.047,1.307
2016-02-22,1.058,1.307
2016-02-29,1.086,1.323
2016-03-07,1.096,1.327
2016-03-14,1.11425,1.3477
2016-03-21,1.128,1.369
2016-03-28,1.129,1.376
2016-04-04,1.13,1.3995
2016-04-11,1.1185,1.4035
2016-04-18,1.13,1.4145
2016-04-25,1.135,1.421
2016-05-02,1.123,1.4
2016-05-09,1.128,1.398
2016-05-16,1.115,1.38
2016-05-23,1.139,1.403
2016-05-30,1.157,1.417
2016-06-06,1.163,1.422
2016-06-13,1.163,1.418
2016-06-20,1.161,1.406
2016-06-27,1.158,1.408
2016-07-04,1.156,1.41
2016-07-11,1.151,1.391
2016-07-19,1.139,1.374
2016-07-25,1.132,1.368
2016-08-01,1.125,1.363
2016-08-08,1.107,1.353
2016-08-15,1.112,1.355
2016-08-22,1.137,1.371
2016-08-29,1.147,1.382
2016-09-05,1.147,1.379
2016-09-12,1.136,1.37
2016-09-19,1.136,1.375
2016-09-26,1.135,1.373
2016-10-03,1.141,1.374
2016-10-10,1.166,1.397
2016-10-18,1.182,1.404
2016-10-24,1.187,1.408
2016-10-31,1.189,1.408
2016-11-07,1.176,1.397
2016-11-14,1.159,1.379
2016-11-21,1.142,1.371
2016-11-28,1.166,1.394
2016-12-05,1.176,1.406
2016-12-12,1.189,1.42
2016-12-19,1.202,1.433
2016-12-26,1.213,1.444
2017-01-02,1.255,1.463
2017-01-09,1.278,1.468
2017-01-16,1.289,1.483
2017-01-23,1.287,1.498
2017-01-30,1.263,1.49
2017-02-06,1.266,1.493
2017-02-13,1.274,1.495
2017-02-20,1.274,1.498
2017-02-27,1.274,1.498
2017-03-06,1.277,1.492
2017-03-13,1.269,1.482
2017-03-20,1.246,1.46
2017-03-27,1.233,1.448
2017-04-03,1.2335,1.4614
2017-04-10,1.243,1.479
2017-04-17,1.259,1.491
2017-04-24,1.257,1.489
2017-05-01,1.242,1.471
2017-05-08,1.216,1.446
2017-05-15,1.2067,1.436
2017-05-22,1.215,1.449
2017-05-29,1.225,1.454
2017-06-05,1.217,1.453
2017-06-12,1.19,1.437
2017-06-19,1.186,1.428
2017-06-26,1.182,1.42
2017-07-03,1.18,1.414
2017-07-10,1.196,1.42
2017-07-18,1.197,1.421
2017-07-25,1.198,1.425
2017-07-31,1.201,1.424
2017-08-07,1.212,1.432
2017-08-14,1.216,1.438
2017-08-21,1.212,1.436
2017-08-28,1.209,1.435
2017-09-04,1.216,1.458
2017-09-11,1.2306,1.4705
2017-09-18,1.2343,1.4615
2017-09-25,1.238,1.458
2017-10-02,1.255,1.452
2017-10-09,1.25,1.446
2017-10-16,1.248,1.446
2017-10-23,1.251,1.447
2017-10-30,1.255,1.455
2017-11-06,1.266,1.481
2017-11-13,1.283,1.511
2017-11-20,1.2786,1.503
2017-11-27,1.2795,1.493
2017-12-04,1.281,1.49
2017-12-11,1.278,1.485
2017-12-18,1.281,1.482
2017-12-25,1.285,1.485
2018-01-01,1.321,1.51
2018-01-09,1.335,1.523
2018-01-15,1.342,1.534
2018-01-22,1.322,1.517
2018-01-29,1.32,1.517
2018-02-05,1.311,1.516
2018-02-12,1.2967,1.505
2018-02-19,1.277,1.486
2018-02-26,1.263,1.466
2018-03-05,1.263,1.463
2018-03-12,1.262,1.46
2018-03-19,1.255,1.457
2018-03-26,1.275,1.509
2018-03-26,1.275,1.491
2018-04-02,1.284,1.505
2018-04-02,1.284,1.514
2018-04-09,1.289,1.521
2018-04-16,1.302,1.54
2018-04-23,1.308,1.547
2018-04-30,1.325,1.564
