data;tipoCombustivel;precoMedio
"2015-03-31";"Gasóleo simples";"1,1900 €"
"2015-04-20";"Gasóleo simples";"1,1390 €"
"2015-04-21";"Gasóleo simples";"1,1620 €"
"2015-04-22";"Gasóleo simples";"1,1620 €"
"2015-04-23";"Gasóleo simples";"1,1620 €"
"2015-04-24";"Gasóleo simples";"1,1620 €"
"2015-04-25";"Gasóleo simples";"1,1620 €"
"2015-04-26";"Gasóleo simples";"1,1620 €"
"2015-04-27";"Gasóleo simples";"1,1620 €"
"2015-04-28";"Gasóleo simples";"1,1720 €"
"2015-04-29";"Gasóleo simples";"1,1720 €"
"2015-04-30";"Gasóleo simples";"1,1720 €"
"2015-05-01";"Gasóleo simples";"1,1720 €"
"2015-05-02";"Gasóleo simples";"1,1720 €"
"2015-05-03";"Gasóleo simples";"1,1720 €"
"2015-05-04";"Gasóleo simples";"1,1801 €"
"2015-05-05";"Gasóleo simples";"1,1801 €"
"2015-05-06";"Gasóleo simples";"1,1801 €"
"2015-05-07";"Gasóleo simples";"1,1801 €"
"2015-05-08";"Gasóleo simples";"1,1801 €"
"2015-05-09";"Gasóleo simples";"1,1801 €"
"2015-05-10";"Gasóleo simples";"1,1801 €"
"2015-05-11";"Gasóleo simples";"1,1817 €"
"2015-05-12";"Gasóleo simples";"1,1849 €"
"2015-05-13";"Gasóleo simples";"1,1849 €"
"2015-05-14";"Gasóleo simples";"1,1849 €"
"2015-05-15";"Gasóleo simples";"1,1849 €"
"2015-05-16";"Gasóleo simples";"1,1849 €"
"2015-05-17";"Gasóleo simples";"1,1849 €"
"2015-05-18";"Gasóleo simples";"1,1825 €"
"2015-05-19";"Gasóleo simples";"1,1825 €"
"2015-05-20";"Gasóleo simples";"1,1825 €"
"2015-05-21";"Gasóleo simples";"1,1875 €"
"2015-05-22";"Gasóleo simples";"1,1875 €"
"2015-05-23";"Gasóleo simples";"1,1875 €"
"2015-05-24";"Gasóleo simples";"1,1875 €"
"2015-05-25";"Gasóleo simples";"1,1875 €"
"2015-05-26";"Gasóleo simples";"1,1870 €"
"2015-05-27";"Gasóleo simples";"1,1870 €"
"2015-05-28";"Gasóleo simples";"1,1870 €"
"2015-05-29";"Gasóleo simples";"1,1870 €"
"2015-05-30";"Gasóleo simples";"1,1870 €"
"2015-05-31";"Gasóleo simples";"1,1870 €"
"2015-06-01";"Gasóleo simples";"1,2484 €"
"2015-06-02";"Gasóleo simples";"1,2461 €"
"2015-06-03";"Gasóleo simples";"1,2457 €"
"2015-06-04";"Gasóleo simples";"1,2459 €"
"2015-06-05";"Gasóleo simples";"1,2436 €"
"2015-06-06";"Gasóleo simples";"1,2393 €"
"2015-06-07";"Gasóleo simples";"1,2396 €"
"2015-06-08";"Gasóleo simples";"1,2416 €"
"2015-06-09";"Gasóleo simples";"1,2386 €"
"2015-06-10";"Gasóleo simples";"1,2382 €"
"2015-06-11";"Gasóleo simples";"1,2380 €"
"2015-06-12";"Gasóleo simples";"1,2359 €"
"2015-06-13";"Gasóleo simples";"1,2319 €"
"2015-06-14";"Gasóleo simples";"1,2321 €"
"2015-06-15";"Gasóleo simples";"1,2364 €"
"2015-06-16";"Gasóleo simples";"1,2379 €"
"2015-06-17";"Gasóleo simples";"1,2376 €"
"2015-06-18";"Gasóleo simples";"1,2373 €"
"2015-06-19";"Gasóleo simples";"1,2364 €"
"2015-06-20";"Gasóleo simples";"1,2321 €"
"2015-06-21";"Gasóleo simples";"1,2324 €"
"2015-06-22";"Gasóleo simples";"1,2356 €"
"2015-06-23";"Gasóleo simples";"1,2303 €"
"2015-06-24";"Gasóleo simples";"1,2299 €"
"2015-06-25";"Gasóleo simples";"1,2391 €"
"2015-06-26";"Gasóleo simples";"1,2381 €"
"2015-06-27";"Gasóleo simples";"1,2332 €"
"2015-06-28";"Gasóleo simples";"1,2336 €"
"2015-06-29";"Gasóleo simples";"1,2384 €"
"2015-06-30";"Gasóleo simples";"1,2368 €"
"2015-07-01";"Gasóleo simples";"1,2348 €"
"2015-07-02";"Gasóleo simples";"1,2347 €"
"2015-07-03";"Gasóleo simples";"1,2341 €"
"2015-07-04";"Gasóleo simples";"1,2294 €"
"2015-07-05";"Gasóleo simples";"1,2298 €"
"2015-07-06";"Gasóleo simples";"1,2347 €"
